word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,avaliability_mean,avaliability_sd,rt_mean,rt_sd,accuracy_mean,accuracy_sd
机舱,fuselage,4.48,0.97,4.71,0.7,4.03,0.88,4.91,1.62,4.17,1.65,4.86,1.76,490.02,57.45,0.884,0.045
机场,airport,4.41,1.47,3.51,1.53,6.1,0.48,7.07,0.85,6.8,1.51,6.41,0.91,628.01,61.14,0.936,0.034
肌肤,skin,3.4,1.26,6.23,1.9,5.28,0.24,5.75,0.91,5.58,0.91,5.49,0.46,527.85,25.3,0.948,0.01
积木,toy bricks,4.89,2,4.51,0.74,6.51,0.35,6.32,2.02,7.14,1.29,6.68,0.52,634.87,22.02,0.921,0.067
激励,stimulate,7.3,1.58,7.07,1.91,7.23,1.44,7.9,1.24,7.8,2.07,7.16,1.59,600.5,34.99,0.914,0.027
激情,passion,7.08,1.68,7.94,0.79,6.91,0.82,6.08,1.7,5.46,0.94,5.84,0.64,532.3,37.51,0.93,0.014
吉祥,auspicious,6.57,1.05,6.32,1.64,6.54,0.64,6.46,1.16,7.51,0.41,6.16,1.7,534.67,59.23,0.906,0.035
集市,market,3,1.89,4.42,1.19,4.86,1.71,4.5,1.53,4.29,1.87,3.51,1.17,548.7,52.67,0.906,0.03
嫉妒,jealousy,2.17,0.54,7.02,1.74,4.46,1.74,4.85,1.97,4.54,1.69,5.06,1.24,523.18,52.4,0.895,0.034
记者,journalist,4.89,1.6,4.43,1.64,3.54,1.49,4.54,0.67,2.77,0.41,4.07,1.93,579.11,22.49,0.891,0.029
纪律,rules,4.58,1.92,3.81,1.64,7.56,1.44,6.56,2.08,7.67,0.84,6.93,1.73,596.29,58.35,0.933,0.03
技术,technique,6.77,0.47,5.85,1.03,5.46,1.11,5.18,1.31,7.11,2.19,6.56,1.97,499.7,37.91,0.958,0.047
妓女,prostitute,2.73,2,4.85,0.99,6.17,1.23,5.17,1.46,7.15,1.72,6.38,1.54,629.35,26.16,0.937,0.02
祭坛,altar,3.14,1.84,6.69,1.98,4.49,1.9,4.51,1.53,4.61,2.18,5.36,1.07,579.4,30.56,0.928,0.063
佳丽,beautiful ladies,7.2,1.69,6.43,1.25,6.66,1.47,6.23,1.55,5.46,1.22,6.11,1.67,559.82,48.54,0.958,0.044
佳肴,cuisine,5.14,1.16,4.83,0.74,4.75,1.08,5.49,1.2,4.92,0.55,6.22,1.95,590.08,60.16,0.949,0.061
枷锁,shackles,2.1,0.96,6.95,0.53,3.41,0.78,3.41,0.95,6.52,1.56,5.78,1.87,495.81,38.22,0.892,0.013
家眷,family honor,3.17,1.43,6.88,0.54,5,1.58,5.4,1.46,4.57,1.94,4.89,0.37,575.21,45.43,0.891,0.02
家事,family matter,5.32,1.52,4.09,1.03,5.32,1.74,4.93,0.84,6.35,1.28,6,1.59,583,44.22,0.88,0.059
嘉宾,guest,6.6,2.2,6.23,0.45,4.03,0.6,5.78,0.9,5.14,1.31,5.47,0.77,516.93,29.53,0.957,0.065
嫁妆,dowry,6.71,1.28,5.1,0.85,6.76,1.75,6.41,0.9,7.57,0.48,6.68,1.77,611.79,33.51,0.926,0.031
奸臣,treacherous court official,6.66,2,6.76,0.68,5.88,1.6,5.46,1.93,6.89,1.09,6.57,1.62,535.34,38.93,0.894,0.068
奸商,dishonest businessman,2,1.18,6.56,1.1,5.6,1.48,4.8,0.59,6.19,1.73,6.17,1.35,637.96,46.03,0.919,0.028
奸笑,wicked grin,2.82,0.36,6.57,0.51,4.95,1.74,4.68,1.92,6.54,1.79,5.51,1.57,546.16,24.01,0.89,0.022
奸诈,tricky,2.23,0.37,6.93,0.68,5.47,1.8,5.75,1.18,6.3,0.4,6.08,1.21,567.59,57.7,0.895,0.068
剪彩,cut the ribbon at an opening ceremony,5.03,1.55,3.86,0.82,6.11,0.58,5.89,1.12,6.84,2.09,6.16,0.75,547.47,42.42,0.907,0.023
简易,simple,4.8,1.27,4.73,1.98,3.53,0.91,4.69,1.89,4.28,1.99,4.51,0.53,552.2,63.92,0.908,0.055
见解,viewpoints,7.14,1.39,5.73,0.51,3.32,1.37,5.57,1.12,4.23,1.84,5.14,0.49,510.55,58.16,0.906,0.026
将军,general,7.27,1.11,5.27,1.4,5.68,0.3,4.64,2.04,7.14,1.52,6.46,1.35,573.09,28,0.897,0.031
僵尸,zombie,3.07,1.68,6.46,2.04,7.18,1.57,5.07,1.42,8.13,1.4,6.94,1.81,507.3,42.71,0.871,0.011
奖金,reward,6.68,0.79,4.59,1.81,6.27,1.68,6.8,0.71,6.62,0.62,6.15,1.26,618.2,59.76,0.945,0.049
奖牌,medal,4.34,0.36,3.88,0.91,5.46,1.08,7.34,1.42,4.72,0.6,5.29,1.17,551,47.55,0.873,0.07
奖品,rewards,8.14,0.67,6.27,2.04,7.18,0.74,6.95,1.56,5.63,0.83,5.24,0.69,557.58,53.27,0.928,0.036
奖券,coupon,6.56,2.25,4.59,1.14,6.41,0.72,6.44,1.91,7.66,1.21,7.28,0.61,603.45,62.14,0.894,0.024
奖赏,awards,3.06,2.06,5.61,0.58,6.83,1.35,6.83,1.13,7.24,2.21,6.38,1.44,597.49,52.56,0.956,0.025
奖章,honor badge,5.54,0.43,5.43,1.58,4.39,0.62,6.39,2.06,3.6,0.76,5.11,1.52,580,31.02,0.921,0.017
奖状,award,6.39,1.02,4.32,1.74,6.82,1.93,6.55,1.43,6.37,1.74,5.79,1.14,595.22,30.23,0.885,0.066
郊游,travel in the suburbs,2.73,0.53,5.39,1.05,5.46,0.68,6.34,0.59,4.81,2.14,5.89,0.75,538.05,35.22,0.891,0.012
骄阳,burning sun,1.86,0.62,5.73,0.72,4.86,1.31,2.73,0.76,5.63,1.88,5.37,0.83,583.41,26.68,0.906,0.047
教官,coach,5.18,2.05,5.39,1.81,3.71,1.57,5.14,1.37,3.5,0.7,4.93,1.03,540.26,38.04,0.912,0.067
教练,coach,2.44,1.36,6.94,0.72,5.94,0.77,5.03,1.06,5.32,0.92,6.08,1.99,533.84,37.85,0.942,0.026
阶梯,ladder,5.86,0.64,4.5,0.75,5.82,1.85,6.14,1.23,7.26,0.66,6.11,1.8,581.15,62.93,0.872,0.065
揭发,expose,6.56,1.89,6.32,0.82,5.88,1.96,6.2,1.11,7.54,1.21,7.28,0.73,517.34,27.63,0.889,0.068
劫持,hijack,6.83,0.65,5.74,1.7,6.43,0.65,4.53,0.96,5.75,1.44,5.19,1.15,554.45,53.75,0.928,0.042
戒指,ring,2.94,1.63,6.02,1.91,6.44,0.59,7.56,1.9,5.77,1.56,5.95,1.06,605.45,29.63,0.909,0.034
金牌,gold medal,7.28,2.14,6.6,1.73,5.4,1.37,6.08,1.23,5.16,1.1,5.95,1.58,501.41,60.61,0.935,0.044
金融,finances,4.61,2.03,5.04,0.69,3.36,1.35,7.11,1.2,3.91,1.86,4.4,1.3,468.83,38.44,0.906,0.054
金鱼,gold fish,3.63,1.34,6.83,0.89,5.51,1.66,4.68,1.28,6.55,2.19,6.15,0.27,528.93,56.44,0.897,0.049
锦绣,silky,3.57,0.49,6.32,1.79,5.14,1.78,4.86,1.76,3.92,0.35,4.03,1.21,581.91,34.42,0.951,0.021
经典,classic,5.72,0.68,4.86,0.64,5.81,1.46,5.78,0.82,5.12,1.89,5.3,1.68,560.22,26.67,0.928,0.052
惊恐,scare,4.68,0.98,4.21,1.31,4.57,0.93,4.03,1.94,6.3,0.55,5.58,1.19,543.86,45.02,0.943,0.054
惊喜,nice surprise,6.54,2.12,6.54,1.89,5.68,1.69,5.86,0.89,4,1.24,4.42,1.8,578.67,49.17,0.899,0.045
精彩,spectacular,7.39,0.64,6.19,0.78,8.82,0.95,6.36,1.22,5.81,0.91,6.96,1.65,602.91,33.45,0.943,0.019
警车,police car,4.23,0.52,4.59,2.01,4.23,1.44,4.95,0.58,3.26,1.56,3.74,0.42,569.35,33.81,0.875,0.012
警犬,police search dogs,2.21,0.69,6.61,1.74,3,0.78,4.11,0.82,2.69,0.89,3.49,1.38,590.82,49.71,0.953,0.039
警卫,security guards,1.4,1.11,6.27,1.54,2.8,1.57,6.17,0.72,3.65,0.98,4.64,1.21,562.16,38.13,0.935,0.016
纠缠,harrass,2.2,1.3,6.51,0.84,4.2,0.53,4.05,1.65,4.54,1.21,5.09,1.62,538.72,41.26,0.903,0.03
酒店,hotel,2.95,0.83,3.55,1.83,4.23,1.53,3.7,0.83,3.88,0.52,4.25,1.67,504.06,52.48,0.875,0.044
拘捕,detain,4,0.69,6.57,1.73,3.13,1.43,3.2,0.99,3.51,0.94,3.68,0.8,532.27,61.3,0.89,0.045
倦容,tired look,6.07,2.17,4.43,1.72,3.82,1.54,4.64,1.81,3.43,1.45,4.79,0.76,500.74,35.62,0.929,0.02
绢花,laces,5.17,1.96,6.17,0.98,3.36,1.8,4.54,1.79,3.37,1.56,4.27,0.61,542.04,54.18,0.871,0.016
眷恋,be attached to,6.61,0.47,5.86,0.55,6.83,1.37,7.47,1.31,7.16,1.39,6.9,1.92,511.93,43.1,0.924,0.056
决斗,duel,3.57,1.68,5.96,1.16,5.89,1.96,5.18,1.77,6.88,1.37,5.9,0.93,566.95,31.69,0.909,0.066
绝望,desperation,1.89,2.1,7.14,1.47,5.16,2,5.22,1.97,5.51,1.01,5.63,0.82,545.07,46.33,0.896,0.017
军官,army officer,6.31,2.22,5.77,0.52,5.74,1.48,4.89,1.26,6.97,0.93,6.46,1.82,524.41,27.35,0.894,0.011
军火,munitions,2.21,2.06,6.64,1.07,4.21,1.83,3.96,0.6,5.49,1,5.64,1.26,521.44,45.03,0.911,0.045
军人,military man,6.09,1.16,5.5,0.89,6.23,0.8,5.43,1.09,6.99,0.48,6.26,1.02,636.05,26.14,0.911,0.014
军装,army suits,4.68,0.66,5.25,1.37,3.14,0.89,4.14,0.79,3.14,0.6,4.41,1.58,513.95,26.2,0.951,0.039
骏马,handsome horse,7.14,1.41,5.39,0.75,6.57,1.51,5.86,2.03,6.78,1.84,5.86,0.55,511.35,61.7,0.923,0.063
咖啡,coffee,6.73,2.18,5.46,2.03,5.54,1.75,5.43,1.47,6.68,1.38,6.35,1.27,557.11,60.41,0.874,0.021
凯旋,triumphant return,6.32,1.1,6.05,0.55,6.71,1.74,6.32,1.79,7.28,0.63,6.38,1.97,612.39,57.54,0.917,0.015
楷模,role model,6.25,1.54,6.22,1.2,4.69,0.24,5.4,1.2,4.43,1.35,4.92,1.7,509.09,26.4,0.9,0.025
坎坷,hardships,2.46,1.16,5.61,1.35,5.75,1.25,4.11,1.32,5.9,1.44,6.34,0.75,554.3,57.45,0.939,0.05
亢奋,excited,4.98,0.35,5.9,2.03,7.1,0.34,6.76,0.96,8.03,1.15,6.86,0.31,519.86,51.64,0.878,0.059
考官,proctor,4.07,1.56,5.1,1.14,6.24,1.28,5.95,1,7.51,1.02,6.88,1.95,618.32,36.36,0.96,0.03
科研,research,4.46,2.27,3.54,1.5,6.11,0.71,5.37,0.99,6.19,2.19,5.08,1.12,517.74,58.04,0.879,0.065
空姐,air hostess,6.5,1.82,5.18,0.79,5.41,0.26,5.41,0.94,3.95,1.41,3.79,1.48,491.55,59.48,0.923,0.016
空军,air force,3.54,2.2,5.77,1.57,5.97,1.57,5.12,1.4,6.65,0.45,6.32,1.96,545.14,51.11,0.889,0.03
空难,air crash,2.03,1.09,7.44,1.14,4.53,0.52,4.78,0.97,5.09,1.22,5.35,0.55,542.73,62.97,0.898,0.044
口红,lipstick,6.41,2.09,4.95,0.78,6.09,0.52,4.64,1.68,6.79,1.32,5.95,0.36,513.69,62.75,0.957,0.07
枯草,dry weed,2.64,1.11,5.79,1.33,5.29,0.3,3.32,0.83,5.6,0.46,5.09,0.73,502.55,45.54,0.916,0.048
枯井,tried well,2.93,1.78,3.46,1.57,6.57,1.52,5.57,1.49,7.14,2.11,6.59,1.96,604.14,34.22,0.958,0.053
枯萎,wither,3.17,1.78,4,2.04,5.97,1.69,6.74,0.73,6.54,1.8,6.41,1.76,604.65,51.83,0.934,0.047
枯燥,dull,7.34,0.91,7.05,1.42,5.46,1.82,5.12,2.08,6.86,1.38,6.52,0.39,513.95,35.74,0.939,0.044
哭泣,cry,5.18,0.38,5.39,1.28,4.71,1.57,4,1.9,5.97,1.82,6.05,0.32,555.03,57.59,0.884,0.033
骷髅,skeleton,4.11,1.44,3.43,1.61,4.06,0.69,3.31,0.99,5.37,1.6,4.91,0.42,589.16,56.68,0.954,0.024
酷吏,cruel ruler,2.54,1.89,7.39,1.69,5.59,0.71,5.07,0.89,5.62,1.05,5.48,0.52,550.15,49.24,0.879,0.013
酷刑,cruel torture,7.91,0.51,6.54,1.05,4.18,0.54,2.05,1.96,5.18,0.74,5.53,1.38,477.61,23.81,0.932,0.039
夸张,exaggertaed,6.12,0.52,5.56,0.5,5.32,1.74,2.82,1.86,4.97,0.43,4.53,0.84,523.55,54.21,0.958,0.05
款待,warm welcome,6.63,1.88,5.54,0.85,7,1.68,6.67,1.02,7.8,0.51,6.9,1.96,542.44,60.99,0.926,0.033
狂风,wild wind,5.79,1.8,5.46,1.57,5.86,0.41,5,2.07,6.6,0.79,6.47,1.52,611.62,44.58,0.92,0.04
狂欢,carnival,3.66,1.91,6.86,1.56,5.71,0.42,5.73,1.58,6.48,1.47,6.26,2.01,510.69,61.7,0.911,0.022
矿产,miniing,2.18,0.63,6.21,1.05,6.07,1.51,4.63,1.58,6.45,2.1,5.29,0.41,616.71,47.53,0.87,0.033
溃烂,rot,4.59,2.25,5.46,0.76,6.07,1.98,4.46,1.55,6.85,0.42,6.18,1.5,569.15,61.16,0.945,0.062
溃疡,ulcer,4.47,0.45,4.53,1.55,2.8,1.1,3.3,1.29,5.19,1.74,5.13,1.1,563.06,51.34,0.882,0.034
困倦,tiredness,4.5,1.75,4.73,0.51,5.33,0.54,3.93,1.6,5.97,0.69,5.49,1.79,514.94,43.25,0.884,0.051
垃圾,garbbage,3.39,1.95,4.82,1.77,5.04,1.28,3.89,0.81,6.84,1.57,6.17,1.71,546.08,51.33,0.924,0.048
腊梅,wintersweet,2.66,2.17,6.86,1.16,5.77,1.2,5.41,0.71,6.58,1.81,5.63,1.11,605.94,23.59,0.956,0.04
懒汉,lazy man,1.44,0.69,6.64,1.66,5.03,1.67,5.91,1.65,6.08,0.99,6,0.53,583.19,54.87,0.945,0.017
浪花,ocean spray,5.75,2.1,5.98,0.84,5.83,1.01,6.29,1.95,4.68,1.95,5.46,0.65,528.47,58.54,0.905,0.049
牢房,prison,6.23,1.37,6.18,1.57,5.14,0.75,2.73,0.56,5.71,0.36,5.11,0.34,543.59,61.99,0.938,0.007
牢笼,cage,4.86,1.85,3.36,0.73,4.14,1.09,5.03,1.04,4.84,1.35,5.35,0.63,499.78,35.86,0.932,0.022
牢狱,prison,2.09,1.36,6.95,1.11,5.73,0.76,4.57,1.68,7.32,0.8,6.46,0.58,640.39,49.95,0.936,0.032
老乡,village  people,5.21,0.75,5.04,0.49,6.57,0.56,6.25,1.47,6.84,1.9,6.99,0.42,564.71,35.42,0.884,0.054
乐观,optimistic,6.5,2.06,5.54,1.66,4.54,0.57,5.57,1.31,4.6,0.35,5.94,0.73,468.26,45.51,0.957,0.034
乐器,instrument,6.44,1.02,5.42,2.04,6.86,0.5,5.59,1.14,7.16,2.05,6.66,0.54,612.22,52.31,0.876,0.053
雷电,thunder,3.21,1.42,3.54,1.04,5.29,0.93,5.17,0.72,5.98,0.75,5.57,0.53,551.03,23.89,0.921,0.042
雷雨,stormy rain,1.7,2.27,6.83,1.7,5,1.66,4.88,1.92,4.23,0.84,3.74,1.72,544.48,42.69,0.937,0.048
泪痕,tear stain,2.74,0.38,5.07,0.98,5.36,1.5,2.95,1.31,6.16,1.41,5.74,1.36,543.62,38.59,0.958,0.035
泪水,tear,6.03,1.33,6.66,1.27,4.72,1.04,4.57,1.33,4.41,1.26,5.22,1.2,554.72,29.24,0.932,0.059
篱笆,fence,3.74,1.21,5.54,0.93,4.2,1.85,4.97,0.97,4.51,1.96,5.08,1.5,488.73,42.63,0.944,0.058
礼花,fire works,5.36,0.82,5.01,0.43,5.05,1.36,5.18,1.63,3.32,1.54,4.32,0.71,519.62,32.56,0.907,0.016
礼炮,salute,6.37,0.66,5.26,1.06,6.26,0.77,6.06,1.14,6.3,1.91,4.92,0.61,630.32,32.89,0.923,0.01
礼物,gift,2.84,1.12,3.77,0.8,5.43,0.37,6.03,0.7,4.89,0.76,5.78,1.97,564.27,60.2,0.874,0.038
礼仪,ritual,6.63,2.26,6.51,1.41,6.34,0.44,5.95,1.12,7.22,1.72,6.05,1.32,504.02,47.66,0.915,0.058
历史,history,7.44,1.84,5.95,0.96,6.61,1.95,6.36,1.24,6.67,2,6.3,0.33,605.27,54.92,0.907,0.023
利润,profit,6.73,1.79,6.59,1.82,5.86,0.52,4.73,0.79,5.87,1.76,5.45,1.28,563.9,53.69,0.874,0.012
莲子,lotus seeds,7.17,0.36,6.58,1.98,6.64,1.84,3.78,1.65,6.44,1.44,5.74,1.81,510.2,54.89,0.946,0.045
廉洁,upright and uncorrupted,7.33,2.03,3,1.33,7,1.39,6.61,1.99,7.4,0.97,6.86,0.81,580.79,59.93,0.89,0.053
脸谱,face mask,4.27,2.34,3.13,1.54,3.2,0.83,5.47,1.95,3.16,2.03,4.13,1.57,588.65,45.6,0.946,0.052
恋爱,have a relationship,4.86,1.67,3.61,1.29,6.64,1.46,6.94,1.05,6.84,0.7,6.74,1.2,615.14,31.1,0.925,0.062
恋人,lovers,7.07,0.64,7.37,2.09,6.07,1.92,6.61,2.06,6.17,0.37,6.43,1.08,574,29.33,0.901,0.03
良田,good fields,6.41,1.31,5.5,1.21,7.09,1.04,6.95,1.44,7.5,0.63,6.97,0.53,639.99,47.11,0.925,0.032
粮仓,grain stock,6.24,1.61,3.71,1.54,6.8,1.71,5.74,1.51,6.27,1.02,5.78,1.25,547.96,58.89,0.954,0.049
粮草,grains,2.63,1.37,5.53,0.61,6.53,1.34,5.9,0.85,6.42,0.76,5.55,0.3,566.33,39.07,0.912,0.065
粮食,grains,6,0.68,5.61,0.67,4.37,1.46,5.54,0.62,3.21,2.11,4.89,1.4,528.82,59.58,0.927,0.02
量杯,testing cup,4.89,2.27,2.43,0.95,3.5,0.4,4.45,1.91,3.58,0.41,4.42,1.59,590.2,54.12,0.902,0.062
列车,train,5,2.01,4.93,2.04,6.29,1.54,5.39,1.36,7.5,2.04,6.69,0.75,586.73,60.7,0.931,0.018
烈火,flaming fire,4.29,0.7,4.17,0.8,5.96,1.38,5.79,1.01,7.71,0.68,7.44,0.55,578.64,41.41,0.928,0.04
烈日,burning sun,2.68,1.61,4.59,0.81,5.02,1.32,5.85,1.12,5.2,0.76,5.49,1.93,571.77,44.67,0.939,0.031
猎人,hunter,5.46,1.08,3.43,1.77,5.23,1.04,5.11,1.19,6.86,1.99,6.05,1.07,496.62,30.17,0.874,0.044
裂痕,crack,2.39,1.56,5.66,1.12,5.02,0.8,5.44,2.07,5.34,0.65,5.72,0.85,559.07,54.31,0.949,0.01
邻居,neighbor,2,2.26,6.66,0.43,4.71,1.77,3.86,1.78,6.81,1.25,6.63,1.42,558.76,51.33,0.936,0.046
淋浴,shower,4.63,1.7,5.7,1.16,6.8,1.65,6.76,0.65,7.72,1.08,6.74,1.73,639.23,35.75,0.958,0.061
吝啬,stingy,2.33,1.45,6.14,1.2,3.94,1.64,4.34,1.97,4.03,1.82,5.95,1.61,465.39,46.35,0.905,0.041
灵车,hearse,6.11,1.72,6.86,1.08,4.5,0.52,2.82,1.43,4.66,1.06,4.45,0.87,514.87,37.39,0.954,0.017
灵柩,coffin,2.27,0.77,7.32,0.44,4.46,0.45,5,2,4.92,1.38,5.52,1,588.14,50.64,0.925,0.042
灵堂,mourning hall,4.96,1.78,6.04,0.82,5.18,1.3,4.14,1.86,5.53,0.63,5.66,0.31,566.87,53.81,0.873,0.035
灵位,memorial tablet,1.97,1.2,5.98,1.18,3.27,1.33,4.97,1.6,3.78,0.7,5.17,1.42,521.17,30.47,0.898,0.057
铃铛,bell,5.86,1.92,4.97,1.82,7.14,0.8,6.22,1.66,7.35,1.81,6.93,1.59,519.03,61.79,0.943,0.066
陵墓,tomb,4.21,1.68,4.33,1.33,3.96,0.77,4.61,1.9,6.01,0.51,6.11,0.53,553.96,49.09,0.949,0.013
陵园,cemetery,4.37,0.46,4.04,0.81,5.2,0.32,4.95,0.92,6.32,1.87,5.92,0.45,580.83,47.17,0.877,0.019
羚羊,antelope,3.91,1.8,4.36,0.9,3.95,1.94,5.56,1.46,3.25,1.13,3.85,1.8,488.62,56.38,0.882,0.047
领带,tie,4.68,2.29,4.61,1.67,6.37,0.79,5.71,1.66,7.54,1.63,6.65,0.96,601.72,35.76,0.898,0.025
领舞,leading dancer,5.98,1.38,5.63,0.76,5.66,1.31,5.24,0.94,6.48,1.91,5.88,0.46,602.56,53.81,0.908,0.022
领悟,savor,6.27,1.25,5.5,1.07,6.6,1.31,6.6,1.4,6.81,1.74,6.23,0.93,639.25,23.01,0.939,0.052
留级,stay down a school year,2.37,0.58,7.89,0.61,3.75,1.41,4.31,1.16,7.16,0.6,5.54,0.98,529.07,56.83,0.954,0.049
流浪,rove,6.27,1.75,4.63,1.42,5.53,0.69,6.64,1.18,5.44,1.64,5.84,0.84,561.67,35.78,0.91,0.039
流氓,rascal,6.54,1.42,4.12,0.97,4.66,1.59,5.12,0.74,4.31,1.88,4.89,0.26,500.76,31.16,0.887,0.01
流星,shooting star,7.31,2.23,6.37,0.55,4.28,1.55,6.97,1.2,5.3,1.9,6.05,1.85,558.19,41.64,0.951,0.026
流血,bleeding,2.03,0.73,7.27,1.72,2.83,0.33,3.3,0.84,3.51,2.15,4.28,0.96,470.7,54.32,0.898,0.054
柳树,willow tree,5,1.86,4.54,1.52,3.64,1.39,4.5,0.54,4.07,2.02,4.96,0.56,487.07,44.26,0.889,0.054
龙舟,dragon boat,4.15,0.65,3.59,1.52,4.61,1.89,5.14,1.73,5.54,0.41,6.1,1.08,497.88,42.84,0.931,0.043
楼房,building,5.18,1.23,5.05,1.35,4.91,0.94,3.68,1.65,5.13,0.65,4.92,0.75,548.76,43.08,0.898,0.043
陋室,shack,2.4,1.61,6.13,1.87,3.97,0.62,3.37,1.37,5.1,1.22,4.81,0.75,578.52,43.28,0.888,0.017
路标,road sign,4.97,1.42,3.27,0.74,4.57,0.51,4.57,1.56,4.21,0.88,5.16,1.97,536.85,54.2,0.938,0.02
路灯,road light,5.68,0.66,5.88,0.64,5.76,1.96,5.27,0.62,6.55,1.47,5.83,1.46,530.61,44.99,0.873,0.043
路途,journey,4.42,1.78,5.39,1.73,3.22,0.38,5.56,1.14,4.14,0.43,4.19,1.02,501,35.23,0.953,0.045
沦陷,occupied,1.92,1.54,8.14,0.89,3.54,0.37,2.86,1.16,4.44,1.34,4.79,0.82,578.66,61.86,0.939,0.008
轮船,ferry boad,5.32,0.37,6.14,0.99,4.95,0.57,3.95,1.08,4,0.87,4.11,1.28,558.55,55.49,0.959,0.05
轮椅,wheel chair,2.63,0.84,4.46,0.53,5.83,1.09,4.17,1.55,6.31,1.6,5.28,1.25,559.96,41.02,0.894,0.024
骆驼,camel,5.37,1.56,4.2,0.74,6.17,1.62,5.13,2.05,7.29,0.59,6.23,1.36,544.84,36.59,0.9,0.057
旅客,traveller,2.53,0.8,5.47,1.37,6.27,0.9,5.14,1.28,6.74,0.68,6.03,0.87,515.78,45.33,0.893,0.016
旅游,travel,5.14,2.25,4.54,0.85,4.94,1.34,6.75,1.95,6.49,0.49,6.23,1.31,559.64,45.87,0.888,0.051
绿茶,green tea,7.07,1.24,4.93,1.36,7.6,1.59,6.9,1.01,8,1.98,7.14,0.66,633.53,44.06,0.911,0.048
麻将,majiang,5.71,1.02,4.07,1.83,5.07,0.76,4.11,1.11,5.26,1.27,5.66,2.01,543.48,27.6,0.9,0.066
麻雀,sparrel,4.71,1.09,4.18,0.46,6.6,1.45,6.34,0.59,7.22,0.35,6.57,1.93,582.29,59.51,0.922,0.069
麻绳,hemp rope,5.24,2.3,4.39,1.98,4.9,1.26,5.68,1.92,5.43,0.49,5.49,0.5,522.53,54.53,0.902,0.051
马戏,circus,6.32,1.05,5.61,1.57,6.36,1.45,6.06,0.91,6.12,0.6,6.12,0.87,560.37,43.48,0.909,0.043
玛瑙,agate,6.53,0.52,4.6,1,6.2,0.77,6.97,1.57,5.54,1.38,5.93,1.65,569.28,50.96,0.938,0.01
蚂蚁,ant,4.97,1.11,6.25,1.66,6.36,0.37,5.64,0.82,7.21,1.16,6.43,1.76,603.5,24.29,0.936,0.031
埋伏,ambush,5.23,1.39,5.12,0.61,5.23,0.5,4.4,1.24,6.64,0.61,5.88,1.47,574.06,28.33,0.957,0.011
埋怨,complian,1.71,1.11,7.29,1.75,4.73,1.35,4.82,1.04,3.08,1.94,3.71,1.44,552.22,22.02,0.903,0.009
麦苗,wheat sprout,5.82,1.48,4.32,0.71,5.55,1.92,3.82,1.12,6.79,1.29,6.08,1.27,509.45,62.56,0.954,0.054
蛮横,rude,2.41,1.15,5.98,0.46,5.78,0.71,5.46,2.03,7.23,0.65,6.32,1.98,545.66,22.78,0.884,0.06
谩骂,verbally abuse,4.25,1.46,4.28,1.31,4.86,0.29,4.94,1.57,4.65,1.72,4.56,1,527.56,22.45,0.92,0.037
漫画,comic strip,6.17,1.41,5.23,1.78,6.03,0.91,5.14,0.89,6.35,0.48,5.68,1.51,534.51,61.3,0.931,0.01
芒果,mango,1.73,0.97,6.86,0.43,3.82,1.63,5.46,1.5,4.24,0.81,4.89,0.94,512.31,35.77,0.872,0.061
茫然,clueless,3,1.39,3.39,0.44,5.02,0.64,4.2,1.39,5.94,0.39,5.51,1.46,541.51,28.76,0.957,0.02
蟒蛇,python,6.08,0.69,5.72,1.98,5.43,1.73,4.64,1.29,7.33,2.15,6.46,0.26,518.59,55.67,0.885,0.037
贸易,trade,7,1.57,5.73,0.59,4.23,1.56,4.05,1.29,4.24,0.77,4.95,1.55,589.73,52.86,0.908,0.062
玫瑰,rose,6.74,0.88,5.74,1.92,6.74,0.57,6.74,1.29,6.86,1.97,6.41,1.67,591.14,29.35,0.905,0.045
媒婆,match maker,2.37,1.41,6.85,1.31,4.94,1.25,5.69,0.61,5.24,0.42,5.59,0.69,563.8,27.87,0.957,0.037
美好,wonderful,4.33,1.8,3.9,1.29,7.23,0.98,7.27,1.62,6.45,1.41,5.97,1.29,596.38,22.93,0.904,0.013
美女,pretty lady,6.83,2.21,6.72,0.87,4.94,0.7,4.75,0.61,5.84,2.21,6.14,1.7,585.34,41.4,0.898,0.052
美人,beauty,2.13,0.85,6.6,0.8,3.07,1.06,6.83,1.78,4.3,1.42,5.48,1.78,556.65,42.53,0.95,0.042
美食,cuisine,7.91,1.26,6.26,0.7,8.09,1.77,8.2,2.04,7.27,1.09,6.78,1.17,542.36,37.38,0.931,0.068
媚态,sexy and glamorous,1.83,1.1,7.67,1.83,5.3,1.99,3.9,1.01,6.91,0.89,5.43,0.86,566.93,51.92,0.911,0.032
门帘,curtain,6.86,0.97,4.63,1.56,4.97,1.62,4.39,1.9,5.56,2.02,5.4,1.77,583.59,23.03,0.899,0.043
蜜蜂,bee,4.07,0.46,5.39,2.07,6.79,1.52,4.75,0.81,7.8,1.26,6.56,1.13,620.94,51.14,0.936,0.034
面具,mask,4.78,2.33,3.88,2.07,4.24,1.5,5.22,0.81,4.06,1.94,4.89,0.76,500.98,33.95,0.934,0.049
灭亡,die out,5.18,2.3,5.25,1.28,5.68,0.73,4.56,1.54,6.58,1.9,5.62,0.34,638.72,43.74,0.871,0.01
