word_russian,pos,translate_word_english,n,valid_n,percent_known,aoa_mean,aoa_sd,frequency,frequency_zipf,concrete_mean_grigoriev2022,concrete_soloviev2022_1000,concrete_mean_soloviev2022_500,imagine_mean_grigoriev2009,imagine_mean_tsaparina2011,imagine_mean_pashneva2014,imagine_mean_akinina2014,familiar_mean_tsaparina2011,familiar_mean_grigoriev2010,familiar_mean_pashneva2014
легковоспламеняющийся,a,flammable,20,20,1,10.8,4.467425963,0.5,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
легкодоступный,a,easily accessible,23,23,1,9.956521739,2.771252767,0.5,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
легкомысленно,adv,frivolously,24,24,1,10.91666667,2.320357294,3.1,2.98,3.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
легкомысленный,a,frivolous,20,20,1,9.55,3.425523395,8.6,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
легкомыслие,s,frivolity,20,20,1,9.85,2.18306882,4.2,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
легкость,s,lightness; ease,30,30,1,7.6,2.159182476,21.2,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лёгонький,a,very light; very easy,20,20,1,6.85,3.048295468,1.3,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
легочный,a,pulmonary,21,20,0.952380952,11.65,3.528455753,2,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
легчать,v,to become easier; to subside (pain) (imperf.),23,21,0.913043478,7.619047619,2.616795569,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лёд,s,ice,21,21,1,4.523809524,1.327367606,62.5,4.21,6.6,1.804347826,NA,NA,NA,NA,NA,NA,NA,NA
леденеть,v,to freeze; to turn to ice,20,20,1,7.7,2.773938868,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
леденец,s,hard candy; lollipop,20,20,1,3.8,1.472555959,2.5,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
леденить,v,to chill; to ice (imperf.),28,22,0.785714286,10.04545455,2.902827402,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
леденящий,a,chilling; icy,20,20,1,8.45,2.892367451,1.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ледник,s,glacier,20,20,1,8.65,2.777257261,4.8,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ледовый,a,ice,23,23,1,7.173913043,2.166945356,5.8,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ледокол,s,icebreaker,21,21,1,8.80952381,3.280534219,3.4,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ледокольный,a,icebreaking,20,20,1,11.45,3.203205631,0.4,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ледоруб,s,ice axe,20,20,1,10.9,3.683533772,0.8,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ледяной,a,icy,20,20,1,6.1,2.074912807,30.3,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лежалый,a,stale (food); long-lying,20,14,0.7,10.85714286,3.655494134,0.8,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лежание,s,lying down,22,22,1,6.772727273,3.100411926,1.2,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лежанка,s,bench; couch,20,20,1,8.9,3.932322201,2,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лежать,v,to lie down (imperf.),620,620,1,3.385483871,1.592018336,318.1,4.15,5.333333333,NA,NA,NA,NA,6.72,1.11,NA,NA,6.68
лежачий,a,recumbent; lying down,21,21,1,5.333333333,2.575525836,3.8,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лежбище,s,haul-out site (for animals),20,20,1,12.9,4.115439479,1,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лезвие,s,blade,20,20,1,6.95,2.163695669,11.3,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лезть,v,to climb; to get into (imperf.),24,24,1,5.625,3.65718471,50,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лейбл,s,label (brand),20,19,0.95,14.15789474,2.167004022,1.6,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лейка,s,watering can,20,20,1,5.7,1.525226472,1.3,2.56,NA,NA,NA,6.47,4.65,NA,1.05,3.83,2.15,NA
лейкопластырь,s,adhesive bandage; plaster,20,20,1,6.75,2.403396719,0.5,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лейкоцит,s,leukocyte; white blood cell,20,20,1,13.15,2.254235779,3.7,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лейтенант,s,lieutenant,20,20,1,11.6,3.408966505,71.9,4.61,6.454545455,1.854166667,NA,NA,NA,NA,NA,NA,NA,NA
лейтенантский,a,lieutenant,21,20,0.952380952,12.25,3.654485348,0.9,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лейтмотив,s,leitmotif,20,13,0.65,14.92307692,2.596842264,2.4,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лекарственный,a,medicinal,20,20,1,7,2.79096286,15.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лекарство,s,medicine; drug,22,22,1,4.318181818,1.728923795,39.6,4.09,4.727272727,NA,1.883333333,NA,NA,NA,NA,NA,NA,NA
лекарь,s,healer (folk),20,20,1,8.75,3.567027363,3.5,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лексика,s,vocabulary; lexicon,21,21,1,10.76190476,2.447544931,5.4,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лексикон,s,lexicon,20,20,1,10.5,2.236067977,3.6,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лексический,a,lexical,20,20,1,10.9,3.712000454,2.8,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лектор,s,lecturer,25,20,0.8,13.8,3.473205709,3.9,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лекционный,a,lecture,22,22,1,13.31818182,2.146677691,1,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лекция,s,lecture,20,20,1,12.35,3.910512148,39.2,3.69,6.222222222,NA,2.333333333,NA,NA,NA,NA,NA,NA,NA
лелеять,v,to cherish; to nurture (imperf.),24,24,1,10.45833333,3.451265258,4.5,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лён,s,flax,21,21,1,8.761904762,2.930951414,11.5,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ленивец,s,sloth (animal); lazy person,21,21,1,7.571428571,3.139608711,0.4,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лениво,adv,lazily,26,26,1,6.692307692,2.66487119,13.3,3.12,4.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
ленивый,a,lazy,20,20,1,5.55,2.01246118,13.5,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лениться,v,to be lazy; to laze around,20,20,1,7.25,3.30669178,2.9,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
леность,s,laziness,23,16,0.695652174,10.6875,3.572464136,1.1,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лента,s,ribbon; tape; belt,20,20,1,5.55,2.114486375,35.9,4.11,NA,NA,1.933333333,NA,NA,NA,NA,NA,NA,NA
лентяй,s,lazybones,20,20,1,5.85,1.496487115,3.3,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лень,adv; s,laziness,20,20,1,6.4,1.465390194,15.8,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
леопард,s,leopard,24,24,1,6.5,2.265046309,2.1,3.25,NA,NA,NA,6.27,3.71,NA,1.24,2.83,1.75,NA
леопардовый,a,leopard,22,22,1,7.045454545,2.214180978,0.4,1.91,5.722222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
лепесток,s,petal,20,20,1,5.8,2.166734142,9.5,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лепет,s,babbling,21,21,1,8.428571429,2.521337514,2.1,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лепетать,v,to babble (imperf.),22,22,1,8.636363636,2.735053835,3.5,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лепёшка,s,flatbread; pancake,20,20,1,6.75,2.336776908,6,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лепить,v,to sculpt; to mold; to stick (imperf.),20,20,1,4.25,1.332784975,8.2,3.02,5.555555556,NA,NA,NA,NA,NA,1.04,NA,NA,NA
лепка,s,sculpting; molding,20,20,1,4.8,1.472555959,2.3,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лепнина,s,stucco,21,16,0.761904762,13.0625,3.714274267,1.5,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лепной,a,stucco,20,8,0.4,10,3.625307869,1.5,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лепта,s,contribution; mite (small coin),20,20,1,12.2,4.384182094,2.5,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лес,s,forest; woods,20,20,1,4.25,1.251315098,211.5,4.58,5.727272727,2.025,NA,6.63,NA,NA,1.06,NA,NA,NA
лесистость,s,woodedness,20,20,1,8.95,2.480980282,0.6,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесистый,a,wooded,21,20,0.952380952,9.8,3.51837283,2.2,2.03,5.733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
леска,s,fishing line,20,20,1,7.35,2.560324815,4,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесник,s,forester,20,20,1,6.85,1.843195166,3.6,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесничество,s,forestry district,20,20,1,10.15,2.58079955,4.1,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесной,a,forest,21,21,1,5.80952381,1.860619456,92.2,4.2,5.611111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесонасаждение,s,afforestation,26,22,0.846153846,12.63636364,2.536316312,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесопилка,s,sawmill,21,21,1,8.333333333,2.921186973,0.7,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесопильный,a,sawmill,20,20,1,8.55,2.684752267,0.4,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесоповал,s,logging,20,20,1,10.2,2.462348045,2.4,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесоруб,s,lumberjack,22,22,1,6.681818182,2.124379206,1.7,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесостепной,a,forest-steppe,20,20,1,10.9,2.693071031,0.9,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесостепь,s,forest-steppe,20,20,1,10.25,2.531381982,0.6,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лестница,s,stairs; staircase; ladder,21,21,1,4.333333333,1.425949976,83.1,3.85,NA,1.708333333,NA,6.63,4.82,NA,1.1,4.64,3.15,NA
лестничный,a,staircase,20,20,1,6.85,2.661123625,12,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лестно,adv,flatteringly,23,22,0.956521739,12.13636364,2.605771151,1.8,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лестный,a,flattering,20,19,0.95,10.26315789,2.825324077,3.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лесть,s,flattery,20,20,1,11,3.554093267,3.1,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
летальный,a,lethal,25,25,1,12.12,2.803569154,3,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
летаргический,a,lethargic,20,17,0.85,13.76470588,3.700158979,0.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
летательный,a,flying; flight,20,20,1,8.2,2.894641147,5.7,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
летать,v,"to fly (imperf., multidirectional); (of birds) to be on the wing",30,30,1,3.966666667,1.519603699,46.6,4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лететь,v,"to fly (imperf., unidirectional); (to rush) to rush, to speed (coll.)",23,23,1,4.695652174,1.893404404,82.9,3.9,5.277777778,NA,NA,NA,NA,6.12,1.07,NA,NA,3.48
летний,a,summer,20,20,1,4.5,1.538967528,93.2,4.71,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
лётный,a,flight,22,22,1,8.863636364,3.284820131,10.9,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лето,s,summer,20,20,1,4.2,1.399247918,135,4.52,NA,2.307692308,NA,NA,NA,NA,NA,NA,NA,NA
летописец,s,chronicler,20,20,1,10.7,3.480774264,2.9,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
летописный,a,chronicle,20,20,1,10.35,2.680828623,0.8,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
летопись,s,chronicle,21,21,1,10.85714286,3.244776021,7.3,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
летосчисление,s,chronology; calendar,25,24,0.96,11.70833333,2.527744598,0.9,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
летучий,a,volatile; flying,26,26,1,6.615384615,2.801098686,10.4,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
летчик,s,pilot,20,20,1,5.25,1.446411167,38.8,3.71,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA
лечащий,a,treating (doctor),20,20,1,9.15,4.132986686,1.9,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лечебница,s,clinic; infirmary,21,21,1,9.952380952,3.27835615,2.4,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лечебный,a,therapeutic; medical,20,20,1,5.45,2.089447169,12.2,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лечение,s,treatment,20,20,1,5.45,1.571958216,46,4.62,NA,NA,2.883333333,NA,NA,NA,NA,NA,NA,NA
лечить,v,to treat; to cure (imperf.),20,20,1,4.8,1.50787407,30.6,4.01,4.909090909,NA,NA,NA,NA,NA,1.41,NA,NA,NA
лечиться,v,to be treated; to undergo treatment (imperf.),20,20,1,3.8,1.321880638,12.4,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лечь,v,to lie down (perf.),21,21,1,3.571428571,1.325572653,63.5,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
леший,s,leshy (forest spirit),22,22,1,6.409090909,1.708775415,6,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лещ,s,bream (fish),21,21,1,8.380952381,2.132514724,2.2,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лжец,s,liar,23,23,1,8.695652174,3.734784679,1.9,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лживо,adv,falsely; deceitfully,24,24,1,7.708333333,2.835783255,0.4,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лживость,s,deceitfulness,21,21,1,8.761904762,1.757975026,0.8,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лживый,a,deceitful; false,26,26,1,7.115384615,2.355027356,5.7,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ли,conj; part,whether,20,17,0.85,7.941176471,3.325480947,1088.6,5.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лиана,s,liana; vine,21,21,1,7.904761905,2.662794808,3.5,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
либерал,s,liberal,25,25,1,13.48,2.4,9.5,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
либерализм,s,liberalism,20,19,0.95,15.68421053,2.604539447,7.4,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
либеральный,a,liberal,20,20,1,15.45,2.684752267,25.5,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
либо,conj,or; either,20,20,1,8.05,2.928534751,195.7,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
либретто,s,libretto,22,11,0.5,12.63636364,3.90570678,3,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ливень,s,downpour,21,21,1,5.80952381,2.135861597,7.1,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ливер,s,liver (as food); offal,23,16,0.695652174,14.5,4.115013163,0.5,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ливрея,s,livery,26,9,0.346153846,15.66666667,2.291287847,0.9,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лига,s,league,28,28,1,11.35714286,3.783142782,13,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лидер,s,leader,20,20,1,9.4,2.798495837,92.2,4.59,NA,2.738461538,NA,NA,NA,NA,NA,NA,NA,NA
лидерский,a,leader,20,20,1,10.2,3.805812729,0.6,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лидерство,s,leadership,20,20,1,10.5,2.35081173,5.6,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лидировать,v,to lead; to be in the lead,25,25,1,9.16,2.939387691,7.6,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лизать,v,to lick (imperf.),22,22,1,5.363636364,2.64656929,4.5,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лизнуть,v,"to lick (perf., single action) (perf.)",21,21,1,4.428571429,2.20389266,3.2,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лик,s,face; countenance; image,24,22,0.916666667,10.86363636,3.226312277,12.7,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ликвидация,s,liquidation; elimination,21,21,1,11.0952381,2.586595483,27.6,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ликвидировать,v,to liquidate; to eliminate,23,23,1,13.52173913,2.352359844,17.4,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ликёр,s,liqueur,26,26,1,12.73076923,2.522818936,3.3,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ликование,s,exultation; jubilation,20,20,1,9.95,2.394621166,5.6,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ликовать,v,to exult; to rejoice (imperf.),26,26,1,11.61538462,2.7723913590000002,8.5,2.56,4.388888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
ликующе,adv,triumphantly; jubilantly,30,30,1,11.1,2.844838036,0.7,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ликующий,a,jubilant; triumphant,20,20,1,8.9,2.425739171,4,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лилипут,s,lilliputian; dwarf,23,23,1,6.608695652,2.330414135,2.7,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лилия,s,lily,24,24,1,6.916666667,3.348155452,9.2,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лиловатый,a,lilac; purplish,20,19,0.95,9.421052632,2.243900113,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лиловый,a,lilac; purple,20,20,1,7.6,2.663594722,9.4,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лимит,s,limit,29,29,1,11.48275862,3.123879109,6.4,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лимитировать,v,to limit,28,25,0.892857143,12.72,3.034798181,1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лимон,s,lemon,20,20,1,4.65,1.631111988,11.7,3.4,7,NA,NA,6.8,4.97,NA,1,4.53,3.9,NA
лимонад,s,lemonade,23,23,1,5.173913043,1.850114835,3.1,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лимонный,a,lemon,23,23,1,5.913043478,1.9285662,5.6,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лимузин,s,limousine,20,20,1,7.55,2.187885304,5.5,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лимфа,s,lymph,22,19,0.863636364,14.73684211,1.694504361,1.4,2.16,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
лимфатический,a,lymphatic,20,20,1,15.45,3.017056774,4.1,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лингвист,s,linguist,22,22,1,14.13636364,2.964800717,3.6,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лингвистика,s,linguistics,20,20,1,12.5,2.837715909,3.8,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лингвистический,a,linguistic,21,20,0.952380952,12.45,3.23590059,6.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
линейка,s,ruler; line-up; assembly,23,23,1,5.869565217,0.967863055,8.6,3.48,NA,NA,NA,6.8,4.88,NA,1.05,4.28,2.6,NA
линейность,s,linearity,20,20,1,10.75,2.425196682,0.5,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
линейный,a,linear,23,23,1,11.52173913,2.447068101,15.5,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
линза,s,lens,23,23,1,9.652173913,2.248407429,6,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
линия,s,line,20,20,1,5.15,1.663066287,143.7,4.5,NA,2.307692308,NA,NA,NA,NA,NA,NA,NA,NA
линкор,s,battleship,20,15,0.75,12.2,4.475329198,1.1,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
линолеум,s,linoleum,28,28,1,8.642857143,2.984084768,3,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
линь,s,tench (fish),25,17,0.68,10.47058824,3.084591688,1.5,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
линька,s,molting; shedding,24,22,0.916666667,9.681818182,2.679487578,0.9,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
линялый,a,faded,20,12,0.6,10.83333333,3.761849964,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
линять,v,to fade; to molt (imperf.),24,24,1,7.875,2.364823736,1.2,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
липа,s,linden tree; lime tree,24,24,1,6.5,2.284160963,11.8,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
липидный,a,lipid,20,13,0.65,13.84615385,1.724632997,0.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
липкий,a,sticky,20,20,1,4.35,1.308876577,9.4,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
липнуть,v,to stick; to adhere (imperf.),26,26,1,5.769230769,2.687864465,2.6,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
липовый,a,linden; fake (colloquial),30,30,1,9.5,2.788523277,4.9,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
липучий,a,very sticky,30,30,1,6.366666667,2.059181848,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лира,s,lyre; lira (currency),22,20,0.909090909,10.35,3.099660423,8,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лиризм,s,lyricism,20,16,0.8,13.1875,3.370830758,0.8,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лирик,s,lyric poet,30,29,0.966666667,12.31034483,2.253623246,2.1,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лирика,s,lyric poetry; lyrics,23,23,1,11.39130435,2.36910283,8.2,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лирически,adv,lyrically,23,23,1,11.95652174,2.439788755,0.4,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лирический,a,lyrical,20,20,1,12.55,3.471310992,13.4,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лиричный,a,lyrical,20,20,1,11.8,2.667543715,1,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лиса,s,fox,22,22,1,3.727272727,1.386390249,8.7,3.72,NA,NA,NA,6.57,4.26,NA,1.19,2.97,1.65,NA
лисий,a,fox,20,20,1,6.3,2.536055786,2.9,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лист,s,leaf; sheet; list,20,20,1,3.9,1.586124041,127.6,4.39,NA,1.830188679,NA,6.73,NA,NA,NA,NA,3.2,NA
листать,v,to leaf through; to browse (imperf.),23,23,1,5.782608696,1.881887876,9.4,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
листва,s,foliage,20,20,1,4.65,1.814415956,14.1,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лиственница,s,larch (tree),21,21,1,9.047619048,2.783454517,4.1,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лиственничный,a,larch,21,19,0.904761905,10.57894737,3.775885319,0.8,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
лиственный,a,deciduous; leafy,20,20,1,7.6,2.891002376,3.1,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
листовка,s,leaflet; flyer,20,20,1,8.25,2.446802425,8.7,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
листопад,s,leaf fall,20,20,1,5.9,2.198085291,1,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литавры,s,kettledrums,20,8,0.4,14.75,3.195979617,0.9,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литейный,a,foundry,20,18,0.9,12.94444444,2.436782407,4.5,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литератор,s,man of letters; writer,21,21,1,10.47619048,2.638542166,19.1,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литература,s,literature,20,20,1,7.6,2.303315688,156,4.68,4.111111111,2.860465116,NA,NA,NA,NA,NA,NA,NA,NA
литературно,adv,literarily,22,22,1,9.090909091,2.741377667,1.1,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литературность,s,literariness,20,20,1,9.25,2.403396719,0.4,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литературный,a,literary,28,28,1,8.392857143,2.314835979,85.7,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литературовед,s,literary scholar,21,20,0.952380952,11.25,2.403396719,4.5,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литературоведение,s,literary studies,20,20,1,11.3,4.040583595,2.3,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литературоведческий,a,literary criticism,20,17,0.85,14.64705882,3.723928981,1.7,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литий,s,lithium,20,20,1,14.1,2.268781263,1.1,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литография,s,lithography,21,14,0.666666667,15.21428571,3.512145332,0.9,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литой,a,cast; molded,21,21,1,12,3.507135583,4.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
литосфера,s,lithosphere,20,20,1,11.3,2.250146194,1.7,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
