cues,AFSS,BOI,Concrete,n_previous,needs_norming
water,36,6.192307692,5,25,Yes
watercress,26,4.782608696,4.31,27,Yes
watermelon,41,5.869565217,4.89,37,No
wax,31,5.291666667,4.97,25,Yes
waxwork,35,4.3,3.96,24,Yes
weapon,52,5.52173913,4.76,62,No
weatherman,28,4.285714286,4.73,24,Yes
web,57,4.375,4.37,34,No
weed,31,5.28,4.9,24,Yes
wench,33,4.956521739,3.86,27,Yes
wheat,31,4.88,4.89,27,Yes
wheel,33,5.458333333,4.86,27,Yes
wheelbarrow,34,5.5,4.79,29,Yes
wheelchair,27,6.132791328,4.93,27,Yes
wheelhouse,29,4.434782609,4.56,27,Yes
whip,33,5,4.68,31,No
whirlpool,25,4.565217391,4.64,25,Yes
whisk,34,6,4.33,29,Yes
whiskers,27,4.625,4.89,59,No
whiskey,31,6.08,4.74,60,No
whistle,24,4.47826087,4.42,30,No
wife,40,6.357142857,4.13,27,Yes
wig,35,5.913043478,4.72,26,Yes
wigmaker,25,4.36,4.11,25,Yes
wildcat,34,4.583333333,4.79,30,No
wildlife,50,4.44,4.26,28,Yes
winch,27,5.045454545,4.4,25,Yes
windbreaker,22,5.307692308,4.12,26,Yes
window,35,5.68,4.86,24,Yes
windowpane,39,5.416666667,4.86,27,Yes
windowsill,26,5.391304348,4.7,31,No
windshield,29,5.708333333,4.86,28,Yes
windsock,30,4.391304348,4.39,27,Yes
wine,34,5.791666667,4.79,32,No
wineglass,27,6.416666667,4.93,28,Yes
wing,35,4.48,4.86,33,No
wingman,22,4.391304348,3.61,29,Yes
wiper,21,5.125,4.56,27,Yes
wiring,37,4.428571429,4.64,33,No
wishbone,36,5.458333333,4.68,28,Yes
wolfhound,40,4.346153846,4.8,28,Yes
woman,58,5.333333333,4.46,36,No
wood,39,5.590909091,4.85,25,Yes
woodblock,50,5.4,4.59,34,No
woodcarver,24,4.625,4.59,25,Yes
woodcraft,34,4.296296296,4.15,31,No
woodcutter,23,4.44,4.54,27,Yes
woodpecker,29,4.833333333,4.93,29,Yes
woodpile,24,5,5,26,Yes
woods,19,4.409090909,4.87,30,No
woodshed,24,5.25,4.68,33,No
woodwind,32,4.96,4.43,28,Yes
woodwork,39,5.12,4.45,33,No
wool,39,5.392857143,4.86,32,No
workbench,42,6.208333333,4.62,27,Yes
workbook,45,5.703703704,4.57,36,No
worker,53,5.086956522,4.59,32,No
workroom,33,4.703703704,4.66,27,Yes
worksheet,32,4.64,4.66,27,Yes
workshop,36,4.4,4.54,27,Yes
worm,46,4.681818182,4.9,36,No
wound,42,4.583333333,4.24,61,No
wrapper,44,5.791666667,4.39,31,No
wreath,22,5.461538462,4.93,27,Yes
wrench,28,6.181818182,4.93,27,Yes
wrestler,34,4.96,4.42,28,Yes
wrist,37,6.291666667,4.93,28,Yes
wristband,35,5.583333333,4.79,28,Yes
wristlet,25,5.428571429,4.38,29,Yes
wristwatch,35,6.5,4.85,27,Yes
xylophone,28,5.821428571,4.75,28,Yes
yacht,49,4.88,4.97,32,No
yachtsman,21,4.291666667,4.35,25,Yes
yam,21,5.259259259,4.93,34,No
yardstick,22,5.956521739,4.69,31,No
yarn,29,6.115384615,4.93,29,Yes
yearbook,40,5.56,4.58,36,No
yoga,34,4.44,4.53,39,No
yogurt,25,6.347826087,4.9,26,Yes
yolk,19,4.875,4.78,25,Yes
you,66,5.52,4.11,26,Yes
yourself,55,5.583333333,4.39,28,Yes
zipper,21,6.08,4.83,28,Yes
zucchini,41,5.923076923,4.87,31,No
